Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Continent
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274894083.0,4817580375.0,5081413542.0,5319458563.0,5386054833.0,5906636792.0,6439687854.0,7253575688.0,7483685771.0,8471006438.0,8992722167.0,8751843188.0,6288245867.0,8086725729.0,12512460520.0,19448348073.0,10117113333.0,9651149302.0,13281767143.0,15565480322.0,18138049096.0,20249694002.0,18525399202.0,17609048822.0,18920840000.0,22278423077.0,21774033333.0,24298032258.0,26579005558.0,28781715189.0,31598340778.0,30957483950.0,31708874594.0,33166519418.0,33768660883.0,37939748769.0,46438484108.0,48244309133.0,49984559471.0,51270569884.0,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69476001239.0,71795736172.0,79611644975.0,91636997371.0,102475158191.0,115275540051.0,128607482310.0,133310747603.0,149998957434.0,172886611654.0,195146608978.0,265224515675.0,293732446625.0,321362752442.0,351231654604.0,373979442362.0,416271647911.0,460131689083.0,437415333018.0,450119432069.0,Asia
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,19839230769.0,19870000000.0,19342000000.0,16563666667.0,17594944444.0,17155421053.0,20249294118.0,28101000000.0,22555941176.0,21988444444.0,20632090909.0,7628738475.0,8602887623.0,10832064942.0,9709240034.0,18991484420.0,12294964838.0,11316127379.0,15031055047.0,13637098579.0,13245990274.0,14183446026.0,16403043850.0,21144957990.0,26157743369.0,29868657858.0,34380536496.0,44431257129.0,54480684188.0,52023801230.0,50689051382.0,57681293007.0,54297052002.0,55819262375.0,57080897012.0,50765918159.0,53929397039.0,59167647388.0,66097226262.0,68507731354.0,70486877546.0,84374613233.0,90506153294.0,102199231385.0,113343355780.0,Europe
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,391577364.1,422181562.2,534081183.7,761132545.1,1042176884.0,1099107601.0,1581709519.0,1989060283.0,2272042965.0,2710160739.0,3493834468.0,3943109532.0,4145421080.0,4247030468.0,4440874566.0,4152376484.0,3470746843.0,3856922694.0,4209834173.0,4393093963.0,4809511005.0,5248911170.0,5402232447.0,5913001064.0,6330627926.0,6651180851.0,6938166755.0,7219407713.0,7031309043.0,7528469149.0,9062898936.0,8976196809.0,9593510638.0,11074813830.0,13150159574.0,15968723404.0,18504760638.0,21730000000.0,25710904255.0,22938218085.0,26805984043.0,29914680851.0,31963404255.0,33823324468.0,34772526596.0,32523297872.0,33884680851.0,37204813830.0,39567978723.0,40446808511.0,35837632979.0,40840212766.0,46458191489.0,46192260638.0,47109734309.0,Asia
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169736027.2,190022030.4,212170033.9,237650038.0,266560042.6,300272048.0,346800000.0,398000000.0,453800000.0,538700000.0,539500000.0,573400000.0,590900000.0,670900000.0,632400000.0,596200000.0,642100000.0,713000000.0,832400000.0,1139800100.0,1335300000.0,1426500000.0,1578300000.0,1732800000.0,2041100000.0,2320699900.0,2472500000.0,2713999900.0,2817900000.0,3062000000.0,3166000000.0,3111160000.0,3109000000.0,3092000000.0,3259000000.0,3429000000.0,3609000000.0,6332360000.0,6833220000.0,7683870000.0,8076470000.0,8317830000.0,8881160000.0,8870090000.0,9055290000.0,9836200000.0,10167250000.0,10618340000.0,10526000000.0,9981960000.0,10095760000.0,10070450000.0,10720400000.0,10475300000.0,11139100000.0,11837600000.0,11880900000.0,12446900000.0,12819200000.0,13277000000.0,10363200000.0,12037000000.0,13896800000.0,15271300000.0,15832800000.0,North America
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7753478261.0,6122959184.0,4735044707.0,3630668950.0,1255802469.0,1866572954.0,2786045322.0,3671909673.0,4116774301.0,4686256363.0,5567772769.0,5800615375.0,6728220983.0,8498894359.0,10156541221.0,11222796337.0,12864841906.0,15778734264.0,19112796623.0,17613949091.0,17176315804.0,18644233537.0,17226735996.0,18179109209.0,18558734107.0,16404348361.0,17116926554.0,18326373136.0,20484058033.0,20482608984.0,20226038370.0,23672712121.0,24534663636.0,27592361498.0,29613572023.0,Europe
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17389558233.0,18404907975.0,16939790094.0,16275073527.0,14931435232.0,13972683274.0,14500437520.0,14128408566.0,15222012660.0,12138486532.0,12736856828.0,12354820144.0,14594900945.0,17825444724.0,23141566293.0,30210091837.0,36961894281.0,45275711996.0,60752106347.0,50873167326.0,57231904543.0,61762382328.0,65685890439.0,75527558966.0,78813069121.0,56454769845.0,47723545321.0,54725405751.0,60031026576.0,64410170653.0,61371673345.0,69673747132.0,73775179925.0,72478760370.0,75961865472.0,Europe
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,28072478.07,29964999.97,31857591.86,33750113.75,36194586.19,40110040.11,44450044.45,47431255.75,44999910.0,47399905.2,53339893.32,59074687.2,65998069.38,78214767.83,103160450.4,118194026.3,97094227.23,117650000.0,136300000.0,151800000.0,257400000.0,260750000.0,248550000.0,262150000.0,290350000.0,287300000.0,311500000.0,371100000.0,421450000.0,491100000.0,546750912.3,596682100.0,695741150.0,752255150.0,771838000.0,818590250.0,850339100.0,872916050.0,929047000.0,999713050.0,1138138100.0,1172045150.0,1243912050.0,1308280250.0,1400202000.0,1474298400.0,1590463100.0,1706190450.0,1738453600.0,1688012750.0,1748988400.0,1831576700.0,1917083500.0,2035191450.0,2138242200.0,2193095150.0,2239604950.0,2266028250.0,2285915050.0,2381187850.0,2047284600.0,2428606250.0,2846604350.0,3052362650.0,3203631800.0,North America
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,72400000.0,76500000.0,80700000.0,82600000.0,92200000.0,98000000.0,115000000.0,134800000.0,150000000.0,164900000.0,186300000.0,211100000.0,235400000.0,269500000.0,312600000.0,345000000.0,386300000.0,447000000.0,475800000.0,517200000.0,613299968.0,739100032.0,785500032.0,889400000.0,985699968.0,1039500032.0,1173500032.0,1296499968.0,1415100032.0,1501500032.0,1592400000.0,1634900000.0,1679900000.0,1820359900.0,1867160100.0,2030750000.0,2695390000.0,2932827000.0,3130748000.0,3324433000.0,3480219000.0,3680483000.0,3937228000.0,4186525000.0,4484703000.0,4868136000.0,6144000000.0,6767000000.0,6980000000.0,6656000000.0,6634526000.0,6312691000.0,6378188000.0,6465756000.0,6413988000.0,6654541000.0,6899911000.0,7142316000.0,7225977000.0,7423465000.0,6887364000.0,7290037000.0,7874381000.0,8579242000.0,9233600000.0,North America
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,377020202.0,410101010.1,448400673.4,482828282.8,544023569.0,604377104.4,669191919.2,755808080.8,857912457.9,929629629.6,1017003367.0,1095622896.0,1257615645.0,1262968516.0,2100249875.0,2404697651.0,2731984008.0,3227436282.0,3758220890.0,4421336383.0,4537479608.0,5891598695.0,5594126369.0,5422656823.0,6169483225.0,5377276555.0,3959382833.0,4347956338.0,4597612362.0,4715973437.0,4867582598.0,5343262457.0,5643868749.0,5734699489.0,5981222859.0,6715161732.0,7396949126.0,7925736821.0,8497494652.0,8285064435.0,8397855485.0,8141516928.0,7905485146.0,8082399640.0,8773451752.0,9549122905.0,11451844902.0,13120108008.0,16674276286.0,17339992194.0,19649723722.0,23963164697.0,27084497482.0,30659338886.0,32996188017.0,33000198249.0,33941126194.0,45927439595.0,48414038842.0,49056643589.0,42313784081.0,47877892402.0,50959081954.0,52340206946.0,54881327453.0,South America
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,17030465539.0,17275940449.0,19231747852.0,23287712878.0,20963733695.0,22465522884.0,28283323733.0,31086389195.0,33930457425.0,37171640819.0,42327664794.0,48869830902.0,58434858375.0,83592275863.0,109794519728.0,129203555239.0,153168949208.0,176344101402.0,200278646124.0,221338204480.0,237393489893.0,258015174749.0,271314113768.0,189656506321.0,188339974087.0,210879844639.0,256480852471.0,283056836894.0,307881930752.0,412990820287.0,390725626003.0,342609231343.0,328187960872.0,368295778245.0,525369851354.0,769333330412.0,850426433004.0,883206452795.0,863711007325.0,599642075004.0,655448188259.0,559983704094.0,509795270685.0,558233724165.0,669289321945.0,891633826625.0,1107626711163.0,1397114247189.0,1695855391758.0,1666996294252.0,2208838108484.0,2616156606579.0,2465228293707.0,2472819362044.0,2456043766032.0,1802211999456.0,1795693265999.0,2063514688806.0,1916933708353.0,1873288158839.0,1476107292152.0,1670647464063.0,1951923832084.0,2191131869706.0,2185821648944.0,South America
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,80021846.95,85363759.34,88782583.46,99893761.27,99252731.45,105021996.9,113195122.8,125554008.7,125733668.5,141393142.0,166210203.0,186826503.0,213725216.7,260767827.6,311804629.9,402178605.0,435911268.6,495097667.9,552883707.1,670362452.1,1012280615.0,1114204743.0,1163923830.0,1236016507.0,1346890071.0,1409536121.0,1547755183.0,1704370308.0,1812757918.0,2006165167.0,2012131457.0,2020583702.0,1957000000.0,2063342117.0,2151344901.0,2216974096.0,2363645403.0,2498384130.0,2817083478.0,2951822205.0,3059500000.0,3054500000.0,3106500000.0,3209500000.0,3444500000.0,3819500000.0,4217323400.0,4675767950.0,4790410400.0,4466809600.0,5672900000.0,5663100000.0,5761450000.0,5667200000.0,5620600000.0,5698150000.0,5674600000.0,5683150000.0,6001950000.0,6161850000.0,5407050000.0,5947550000.0,6884900000.0,7223250000.0,7498050000.0,North America
